"trial","RT","gaze_dir","target_dir","congr","eye_shift","SOA","ydiff","xdiff","blink","su","sac_dir","correct_sac","too_fast","too_slow"
1,163,"Right","Left","Incongruent","Shift head",500,-2.80000000000001,-19.1,"No blink","p1","Insufficient amplitude",0,0,0
1,297,"Left","Left","Congruent","Shift head",500,-3.40000000000003,-244.1,"No blink","p2","Left",1,0,0
1,285,"Right","Left","Incongruent","Shift eyes",900,-0.399999999999977,-246,"No blink","p3","Left",1,0,0
1,322,"Left","Left","Congruent","Shift eyes",900,0,-218.7,"Contains blink","p4","Left",1,0,0
1,176,"Right","Left","Incongruent","Shift eyes",900,-10.6,-222.1,"No blink","p5","Left",1,0,0
1,410,"Right","Left","Incongruent","Shift head",900,13.9,-234.7,"No blink","p6","Left",1,0,0
1,151,"Right","Left","Incongruent","Shift eyes",500,-1.40000000000003,-462.2,"No blink","p7","Left",1,0,0
1,258,"Right","Right","Congruent","Shift eyes",100,-6.10000000000002,250.4,"No blink","p8","Right",1,0,0
1,953,"Right","Left","Incongruent","Shift head",500,-15.2,18.5,"No blink","p9","Insufficient amplitude",0,0,1
1,333,"Left","Left","Congruent","Shift head",900,-4.80000000000001,-242.2,"No blink","p10","Left",1,0,0
1,465,"Left","Right","Incongruent","Shift eyes",100,-6.69999999999999,229.2,"No blink","p11","Right",1,0,0
1,279,"Right","Left","Incongruent","Shift head",900,-5.20000000000005,-243.9,"No blink","p12","Left",1,0,0
1,322,"Right","Left","Incongruent","Shift eyes",900,14,-236.7,"No blink","p13","Left",1,0,0
1,367,"Right","Right","Congruent","Shift head",900,6,243.2,"No blink","p14","Right",1,0,0
1,380,"Left","Right","Incongruent","Shift head",100,12.9,201.2,"No blink","p15","Right",1,0,0
1,290,"Right","Right","Congruent","Shift eyes",500,-17.7,225.8,"No blink","p16","Right",1,0,0
1,157,"Left","Right","Incongruent","Shift head",900,-1.90000000000003,539.3,"No blink","p17","Right",1,0,0
1,345,"Right","Left","Incongruent","Shift eyes",100,-13.9,-209.2,"No blink","p18","Left",1,0,0
1,468,"Left","Left","Congruent","Shift head",100,-12.4,-193,"No blink","p19","Left",1,0,0
1,504,"Right","Left","Incongruent","Shift head",900,-23.1,-260.7,"Contains blink","p20","Left",1,0,0
1,78,"Left","Right","Incongruent","Shift head",100,-16.1,-25.3000000000001,"No blink","p21","Insufficient amplitude",0,1,0
1,218,"Right","Left","Incongruent","Shift eyes",100,-7.20000000000005,-221.6,"No blink","p22","Left",1,0,0
2,484,"Right","Left","Incongruent","Shift head",900,-6.69999999999999,-9.30000000000001,"No blink","p1","Insufficient amplitude",0,0,0
2,206,"Right","Right","Congruent","Shift head",900,-13.9,218.4,"No blink","p2","Right",1,0,0
2,306,"Right","Left","Incongruent","Shift head",500,0.5,-233,"No blink","p3","Left",1,0,0
2,372,"Right","Right","Congruent","Shift head",100,0,223.6,"No blink","p4","Right",1,0,0
2,312,"Left","Right","Incongruent","Shift head",900,5.5,238.1,"No blink","p5","Right",1,0,0
2,244,"Left","Left","Congruent","Shift eyes",900,-4.89999999999998,-236.5,"No blink","p6","Left",1,0,0
2,290,"Left","Right","Incongruent","Shift eyes",900,7,-239.4,"No blink","p7","Left",0,0,0
