"orig_trial","soa","Xloc","RT","trial_nr","target_loc","gaze_dir","resp_dir","cond","congr","correct","su"
94,500,510,414.26,1,"Right","Right","Right","Head shift","Congruent",1,"su1"
18,900,510,387.9,2,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
52,500,510,471.21,3,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
26,100,510,487.54,4,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
32,100,510,507.41,5,"Right","Left","Right","Head shift","Incongruent",1,"su1"
76,500,510,328.9,6,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
54,900,510,453.56,7,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
77,900,510,369.36,8,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
81,500,510,350.04,9,"Left","Left","Left","Head shift","Congruent",1,"su1"
9,500,510,348.28,10,"Left","Left","Left","Head shift","Congruent",1,"su1"
22,500,510,414.9,11,"Right","Right","Right","Head shift","Congruent",1,"su1"
41,900,510,313.22,12,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
84,900,510,363.59,13,"Right","Left","Right","Head shift","Incongruent",1,"su1"
85,100,510,478.98,14,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
78,900,510,343.74,15,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
93,500,510,348.94,16,"Left","Right","Left","Head shift","Incongruent",1,"su1"
13,100,510,371.39,17,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
62,100,510,523.25,18,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
65,900,510,349.55,19,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
87,500,510,368.04,20,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
72,900,510,326.82,21,"Right","Right","Right","Head shift","Congruent",1,"su1"
67,100,510,447.03,22,"Left","Right","Left","Head shift","Incongruent",1,"su1"
37,100,510,359.63,23,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
96,900,510,400.3,24,"Right","Right","Right","Head shift","Congruent",1,"su1"
61,100,510,475.74,25,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
63,500,510,371.46,26,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
35,900,510,366.41,27,"Left","Left","Left","Head shift","Congruent",1,"su1"
30,900,510,376.28,28,"Right","Left","Right","Gaze shift","Incongruent",1,"su1"
33,500,510,361.77,29,"Left","Left","Left","Head shift","Congruent",1,"su1"
12,900,510,602.55,30,"Right","Left","Right","Head shift","Incongruent",1,"su1"
57,500,510,313.13,31,"Left","Left","Left","Head shift","Congruent",1,"su1"
11,900,510,330.58,32,"Left","Left","Left","Head shift","Congruent",1,"su1"
7,100,510,527.51,33,"Left","Left","Left","Head shift","Congruent",1,"su1"
20,100,510,399.98,34,"Right","Right","Right","Head shift","Congruent",1,"su1"
60,900,510,317.13,35,"Right","Left","Right","Head shift","Incongruent",1,"su1"
69,500,510,311.46,36,"Left","Right","Left","Head shift","Incongruent",1,"su1"
31,100,510,361.84,37,"Left","Left","Left","Head shift","Congruent",1,"su1"
86,100,510,333.43,38,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
55,100,510,286.52,39,"Left","Left","Left","Head shift","Congruent",1,"su1"
71,900,510,266.92,40,"Left","Right","Left","Head shift","Incongruent",1,"su1"
47,900,510,311.87,41,"Left","Right","Left","Head shift","Incongruent",1,"su1"
17,900,510,310.47,42,"Left","Right","Left","Gaze shift","Incongruent",1,"su1"
45,500,510,349.52,43,"Left","Right","Left","Head shift","Incongruent",1,"su1"
88,500,510,339.96,44,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
43,100,510,431.53,45,"Left","Right","Left","Head shift","Incongruent",1,"su1"
42,900,510,360.11,46,"Right","Right","Right","Gaze shift","Congruent",1,"su1"
75,500,510,318.5,47,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
79,100,510,359.66,48,"Left","Left","Left","Head shift","Congruent",1,"su1"
95,900,510,283.85,49,"Left","Right","Left","Head shift","Incongruent",1,"su1"
27,500,510,359.56,50,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
1,100,510,315.47,51,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
25,100,510,368.35,52,"Left","Left","Left","Gaze shift","Congruent",1,"su1"
56,100,510,450.18,53,"Right","Left","Right","Head shift","Incongruent",1,"su1"
58,500,510,422.87,54,"Right","Left","Right","Head shift","Incongruent",1,"su1"
68,100,510,378.31,55,"Right","Right","Right","Head shift","Congruent",1,"su1"
