ParticipantID,ParticipantAge,ParticipantSex,ParticipantHandedness,Block,Trial,Validity,CueType,CueDirection,SOA,TargetPosition,CorrectResponse,ParticipantResponse,Accuracy,ReactionTime
1,20,female,right,Prac,1,Valid,Face,Right,500,Right,p,p,1,601
1,20,female,right,Prac,2,Invalid,Face,Left,750,Right,p,p,1,461
1,20,female,right,Prac,3,Valid,Face,Left,1000,Left,q,q,1,324
1,20,female,right,Prac,4,Valid,Arrow,Left,1000,Left,q,q,1,345
1,20,female,right,Prac,5,Invalid,Arrow,Right,750,Left,q,q,1,423
1,20,female,right,Prac,6,Invalid,Arrow,Left,300,Right,p,p,1,412
1,20,female,right,Prac,7,Valid,Line,Right,1000,Right,p,p,1,302
1,20,female,right,Prac,8,Invalid,Line,Left,500,Right,p,p,1,399
1,20,female,right,Prac,9,Invalid,Line,Right,750,Left,q,q,1,315
1,20,female,right,Main,1,Invalid,Face,Right,300,Left,q,q,1,320
1,20,female,right,Main,2,Invalid,Face,Right,150,Left,q,q,1,446
1,20,female,right,Main,3,Valid,Face,Right,150,Right,p,p,1,302
1,20,female,right,Main,4,Invalid,Face,Left,1000,Right,p,p,1,283
1,20,female,right,Main,5,Invalid,Face,Left,750,Right,p,p,1,298
1,20,female,right,Main,6,Valid,Face,Left,750,Left,q,q,1,280
1,20,female,right,Main,7,Valid,Face,Left,1000,Left,q,q,1,325
1,20,female,right,Main,8,Invalid,Face,Right,750,Left,q,q,1,323
1,20,female,right,Main,9,Valid,Face,Left,150,Left,q,q,1,336
1,20,female,right,Main,10,Valid,Face,Right,1000,Right,p,p,1,221
1,20,female,right,Main,11,Valid,Face,Left,300,Left,q,q,1,265
1,20,female,right,Main,12,Valid,Face,Right,500,Right,p,p,1,252
1,20,female,right,Main,13,Valid,Face,Right,300,Right,p,q,0,400
1,20,female,right,Main,14,Invalid,Face,Left,500,Right,p,p,1,356
1,20,female,right,Main,15,Invalid,Face,Left,150,Right,p,p,1,337
1,20,female,right,Main,16,Invalid,Face,Right,500,Left,q,q,1,337
1,20,female,right,Main,17,Invalid,Face,Left,300,Right,p,p,1,361
1,20,female,right,Main,18,Invalid,Face,Right,1000,Left,q,q,1,251
1,20,female,right,Main,19,Valid,Face,Left,500,Left,q,q,1,399
1,20,female,right,Main,20,Valid,Face,Right,750,Right,p,p,1,235
1,20,female,right,Main,21,Valid,Face,Left,750,Left,q,q,1,245
1,20,female,right,Main,22,Valid,Face,Right,1000,Right,p,p,1,285
1,20,female,right,Main,23,Invalid,Face,Left,500,Right,p,p,1,303
1,20,female,right,Main,24,Valid,Face,Right,300,Right,p,p,1,297
1,20,female,right,Main,25,Invalid,Face,Left,750,Right,p,p,1,320
1,20,female,right,Main,26,Invalid,Face,Right,500,Left,q,q,1,289
1,20,female,right,Main,27,Invalid,Face,Left,150,Right,p,p,1,273
1,20,female,right,Main,28,Valid,Face,Left,300,Left,q,q,1,284
1,20,female,right,Main,29,Invalid,Face,Left,1000,Right,p,p,1,274
1,20,female,right,Main,30,Valid,Face,Right,750,Right,p,p,1,251
1,20,female,right,Main,31,Valid,Face,Left,1000,Left,q,q,1,259
1,20,female,right,Main,32,Valid,Face,Left,150,Left,q,q,1,538
1,20,female,right,Main,33,Invalid,Face,Right,1000,Left,q,q,1,295
1,20,female,right,Main,34,Invalid,Face,Right,750,Left,q,q,1,358
1,20,female,right,Main,35,Valid,Face,Right,500,Right,p,p,1,397
1,20,female,right,Main,36,Valid,Face,Left,500,Left,q,q,1,266
1,20,female,right,Main,37,Valid,Face,Right,150,Right,p,p,1,379
1,20,female,right,Main,38,Invalid,Face,Right,300,Left,q,q,1,353
1,20,female,right,Main,39,Invalid,Face,Left,300,Right,p,p,1,249
1,20,female,right,Main,40,Invalid,Face,Right,150,Left,q,q,1,306
1,20,female,right,Main,41,Valid,Face,Right,750,Right,p,p,1,241
1,20,female,right,Main,42,Valid,Face,Left,1000,Left,q,q,1,249
1,20,female,right,Main,43,Invalid,Face,Left,300,Right,p,p,1,357
1,20,female,right,Main,44,Invalid,Face,Left,750,Right,p,p,1,282
1,20,female,right,Main,45,Valid,Face,Right,300,Right,p,p,1,373
1,20,female,right,Main,46,Valid,Face,Left,750,Left,q,q,1,266
1,20,female,right,Main,47,Invalid,Face,Right,300,Left,q,q,1,453
1,20,female,right,Main,48,Invalid,Face,Left,500,Right,p,p,1,80
1,20,female,right,Main,49,Invalid,Face,Left,150,Right,p,p,1,296
1,20,female,right,Main,50,Valid,Face,Left,150,Left,q,q,1,248
1,20,female,right,Main,51,Valid,Face,Left,300,Left,q,q,1,348
1,20,female,right,Main,52,Invalid,Face,Right,150,Left,q,q,1,361
1,20,female,right,Main,53,Invalid,Face,Left,1000,Right,p,p,1,261
1,20,female,right,Main,54,Valid,Face,Right,150,Right,p,p,1,342
1,20,female,right,Main,55,Invalid,Face,Right,500,Left,q,q,1,294
1,20,female,right,Main,56,Invalid,Face,Right,750,Left,q,q,1,270
1,20,female,right,Main,57,Invalid,Face,Right,1000,Left,q,q,1,309
1,20,female,right,Main,58,Valid,Face,Left,500,Left,q,q,1,335
1,20,female,right,Main,59,Valid,Face,Right,1000,Right,p,p,1,275
1,20,female,right,Main,60,Valid,Face,Right,500,Right,p,p,1,262
1,20,female,right,Main,61,Invalid,Face,Left,150,Right,p,p,1,359
1,20,female,right,Main,62,Valid,Face,Right,1000,Right,p,p,1,387
1,20,female,right,Main,63,Valid,Face,Left,1000,Left,q,q,1,205
1,20,female,right,Main,64,Invalid,Face,Right,300,Left,q,q,1,451
1,20,female,right,Main,65,Valid,Face,Left,500,Left,q,q,1,358
1,20,female,right,Main,66,Valid,Face,Left,300,Left,q,q,1,366
1,20,female,right,Main,67,Invalid,Face,Left,1000,Right,p,p,1,305
1,20,female,right,Main,68,Valid,Face,Right,150,Right,p,p,1,344
1,20,female,right,Main,69,Invalid,Face,Right,750,Left,q,q,1,303
1,20,female,right,Main,70,Invalid,Face,Left,750,Right,p,p,1,286
1,20,female,right,Main,71,Invalid,Face,Left,300,Right,p,p,1,360
1,20,female,right,Main,72,Valid,Face,Right,500,Right,p,p,1,288
1,20,female,right,Main,73,Valid,Face,Right,750,Right,p,p,1,271
1,20,female,right,Main,74,Valid,Face,Right,300,Right,p,p,1,306
1,20,female,right,Main,75,Valid,Face,Left,750,Left,q,q,1,330
1,20,female,right,Main,76,Invalid,Face,Right,500,Left,q,p,0,386
1,20,female,right,Main,77,Invalid,Face,Right,1000,Left,q,q,1,644
1,20,female,right,Main,78,Invalid,Face,Left,500,Right,p,p,1,305
1,20,female,right,Main,79,Valid,Face,Left,150,Left,q,q,1,312
1,20,female,right,Main,80,Invalid,Face,Right,150,Left,q,p,0,335
1,20,female,right,Main,81,Valid,Face,Left,150,Left,q,q,1,423
1,20,female,right,Main,82,Valid,Face,Right,500,Right,p,p,1,356
1,20,female,right,Main,83,Valid,Face,Right,150,Right,p,p,1,281
1,20,female,right,Main,84,Invalid,Face,Right,300,Left,q,q,1,307
1,20,female,right,Main,85,Invalid,Face,Left,1000,Right,p,p,1,289
1,20,female,right,Main,86,Invalid,Face,Right,1000,Left,q,q,1,352
1,20,female,right,Main,87,Invalid,Face,Right,500,Left,q,q,1,455
1,20,female,right,Main,88,Valid,Face,Right,300,Right,p,p,1,339
1,20,female,right,Main,89,Valid,Face,Left,300,Left,q,q,1,339
1,20,female,right,Main,90,Valid,Face,Right,1000,Right,p,p,1,271
1,20,female,right,Main,91,Invalid,Face,Right,150,Left,q,q,1,312
1,20,female,right,Main,92,Valid,Face,Left,1000,Left,q,q,1,374
1,20,female,right,Main,93,Invalid,Face,Right,750,Left,q,q,1,339
1,20,female,right,Main,94,Invalid,Face,Left,750,Right,p,p,1,321
1,20,female,right,Main,95,Valid,Face,Right,750,Right,p,p,1,288
1,20,female,right,Main,96,Invalid,Face,Left,300,Right,p,p,1,346
1,20,female,right,Main,97,Valid,Face,Left,500,Left,q,q,1,330
1,20,female,right,Main,98,Valid,Face,Left,750,Left,q,q,1,321
1,20,female,right,Main,99,Invalid,Face,Left,500,Right,p,p,1,312
1,20,female,right,Main,100,Invalid,Face,Left,150,Right,p,p,1,503
1,20,female,right,Main,101,Invalid,Face,Right,150,Left,q,q,1,319
1,20,female,right,Main,102,Valid,Face,Left,750,Left,q,q,1,350
1,20,female,right,Main,103,Valid,Face,Left,1000,Left,q,q,1,321
1,20,female,right,Main,104,Valid,Face,Right,1000,Right,p,p,1,390
1,20,female,right,Main,105,Invalid,Face,Left,1000,Right,p,p,1,337
1,20,female,right,Main,106,Invalid,Face,Left,500,Right,p,p,1,393
1,20,female,right,Main,107,Invalid,Face,Right,500,Left,q,q,1,535
1,20,female,right,Main,108,Invalid,Face,Left,150,Right,p,p,1,533
1,20,female,right,Main,109,Invalid,Face,Right,750,Left,q,q,1,316
1,20,female,right,Main,110,Invalid,Face,Right,1000,Left,q,q,1,433
1,20,female,right,Main,111,Valid,Face,Right,150,Right,p,p,1,331
1,20,female,right,Main,112,Valid,Face,Right,750,Right,p,p,1,305
1,20,female,right,Main,113,Valid,Face,Left,150,Left,q,q,1,305
1,20,female,right,Main,114,Valid,Face,Left,300,Left,q,q,1,378
1,20,female,right,Main,115,Valid,Face,Left,500,Left,q,q,1,321
1,20,female,right,Main,116,Invalid,Face,Left,300,Right,p,p,1,322
1,20,female,right,Main,117,Invalid,Face,Right,300,Left,q,q,1,323
1,20,female,right,Main,118,Valid,Face,Right,500,Right,p,p,1,284
1,20,female,right,Main,119,Valid,Face,Right,300,Right,p,p,1,310
