Subject,Age,Handedness,Sex,Block,Trial,CellLabel,Expression,Target.ACC,Target.RT,TrialType
4,19,right,male,1,1,FRi,Fearful,1,852,Inongruent
4,19,right,male,1,2,NDl,Neutral,1,595,Direct
4,19,right,male,1,3,NRl,Neutral,1,409,Inongruent
4,19,right,male,1,4,FRi,Fearful,1,412,Inongruent
4,19,right,male,1,5,NRl,Neutral,1,408,Inongruent
4,19,right,male,1,6,NLr,Neutral,1,433,Inongruent
4,19,right,male,1,7,NRr,Neutral,1,423,Congruent
4,19,right,male,1,8,FDr,Fearful,1,405,Direct
4,19,right,male,1,9,FRc,Fearful,1,374,Congruent
4,19,right,male,1,10,FLi,Fearful,1,421,Inongruent
4,19,right,male,1,11,FLc,Fearful,1,438,Congruent
4,19,right,male,1,12,FDl,Fearful,1,513,Direct
4,19,right,male,1,13,NDr,Neutral,1,337,Direct
4,19,right,male,1,14,NLl,Neutral,1,355,Congruent
4,19,right,male,1,15,NLl,Neutral,1,417,Congruent
4,19,right,male,1,16,NLr,Neutral,1,415,Inongruent
4,19,right,male,1,17,NLr,Neutral,1,398,Inongruent
4,19,right,male,1,18,FDl,Fearful,1,381,Direct
4,19,right,male,1,19,FDr,Fearful,1,279,Direct
4,19,right,male,1,20,NRl,Neutral,1,344,Inongruent
4,19,right,male,1,21,FRc,Fearful,1,347,Congruent
4,19,right,male,1,22,NDl,Neutral,1,353,Direct
4,19,right,male,1,23,NDr,Neutral,1,288,Direct
4,19,right,male,1,24,FRc,Fearful,1,311,Congruent
4,19,right,male,1,25,NRl,Neutral,1,329,Inongruent
4,19,right,male,1,26,FLi,Fearful,1,367,Inongruent
4,19,right,male,1,27,NLr,Neutral,1,452,Inongruent
4,19,right,male,1,28,NDl,Neutral,1,309,Direct
4,19,right,male,1,29,NLl,Neutral,1,395,Congruent
4,19,right,male,1,30,FDl,Fearful,1,430,Direct
4,19,right,male,1,31,FDr,Fearful,1,418,Direct
4,19,right,male,1,32,FRc,Fearful,1,436,Congruent
4,19,right,male,1,33,FLi,Fearful,1,373,Inongruent
4,19,right,male,1,34,NLr,Neutral,1,444,Inongruent
4,19,right,male,1,35,NRl,Neutral,1,432,Inongruent
4,19,right,male,1,36,FDl,Fearful,1,427,Direct
4,19,right,male,1,37,FRc,Fearful,1,379,Congruent
4,19,right,male,1,38,NLr,Neutral,1,497,Inongruent
4,19,right,male,1,39,NDr,Neutral,1,393,Direct
4,19,right,male,1,40,FDr,Fearful,1,459,Direct
4,19,right,male,1,41,NLl,Neutral,1,452,Congruent
4,19,right,male,1,42,FRi,Fearful,1,454,Inongruent
4,19,right,male,1,43,NDl,Neutral,1,354,Direct
4,19,right,male,1,44,NDl,Neutral,1,375,Direct
4,19,right,male,1,45,NDr,Neutral,1,350,Direct
4,19,right,male,1,46,FRi,Fearful,1,395,Inongruent
4,19,right,male,1,47,NDl,Neutral,1,451,Direct
4,19,right,male,1,48,FLi,Fearful,1,395,Inongruent
4,19,right,male,1,49,NRr,Neutral,1,436,Congruent
4,19,right,male,1,50,NDr,Neutral,1,348,Direct
4,19,right,male,1,51,FDr,Fearful,1,364,Direct
4,19,right,male,1,52,FRi,Fearful,1,349,Inongruent
4,19,right,male,1,53,FLc,Fearful,1,400,Congruent
4,19,right,male,1,54,NRr,Neutral,1,322,Congruent
4,19,right,male,1,55,FDl,Fearful,1,440,Direct
4,19,right,male,1,56,NRr,Neutral,1,291,Congruent
4,19,right,male,1,57,FLc,Fearful,1,371,Congruent
4,19,right,male,1,58,NDr,Neutral,1,244,Direct
4,19,right,male,1,59,NLl,Neutral,1,314,Congruent
4,19,right,male,1,60,NLl,Neutral,1,379,Congruent
4,19,right,male,1,61,NLr,Neutral,1,318,Inongruent
4,19,right,male,1,62,FLi,Fearful,1,383,Inongruent
4,19,right,male,1,63,NDr,Neutral,1,350,Direct
4,19,right,male,1,64,FRc,Fearful,1,365,Congruent
4,19,right,male,1,65,NRl,Neutral,1,414,Inongruent
4,19,right,male,1,66,FLi,Fearful,1,377,Inongruent
4,19,right,male,1,67,NRr,Neutral,1,382,Congruent
4,19,right,male,1,68,NLr,Neutral,1,352,Inongruent
4,19,right,male,1,69,FRc,Fearful,1,397,Congruent
4,19,right,male,1,70,NRr,Neutral,1,373,Congruent
4,19,right,male,1,71,FDl,Fearful,1,449,Direct
4,19,right,male,1,72,NLl,Neutral,1,382,Congruent
4,19,right,male,1,73,FDr,Fearful,1,393,Direct
4,19,right,male,1,74,FDl,Fearful,1,373,Direct
4,19,right,male,1,75,FDr,Fearful,1,349,Direct
4,19,right,male,1,76,NRr,Neutral,1,431,Congruent
4,19,right,male,1,77,NDr,Neutral,1,470,Direct
4,19,right,male,1,78,FLc,Fearful,1,389,Congruent
4,19,right,male,1,79,NRr,Neutral,1,353,Congruent
4,19,right,male,1,80,FRi,Fearful,1,458,Inongruent
4,19,right,male,1,81,FLc,Fearful,1,420,Congruent
4,19,right,male,1,82,FLc,Fearful,1,376,Congruent
4,19,right,male,1,83,NLl,Neutral,1,361,Congruent
4,19,right,male,1,84,NRl,Neutral,1,402,Inongruent
4,19,right,male,1,85,FLc,Fearful,1,379,Congruent
4,19,right,male,1,86,FRi,Fearful,1,330,Inongruent
4,19,right,male,1,87,FDl,Fearful,1,356,Direct
4,19,right,male,1,88,FRc,Fearful,1,385,Congruent
4,19,right,male,1,89,FLi,Fearful,1,407,Inongruent
4,19,right,male,1,90,NRl,Neutral,1,423,Inongruent
4,19,right,male,1,91,FRi,Fearful,1,461,Inongruent
4,19,right,male,1,92,NDl,Neutral,1,416,Direct
4,19,right,male,1,93,FLc,Fearful,1,350,Congruent
4,19,right,male,1,94,FLi,Fearful,1,400,Inongruent
4,19,right,male,1,95,FDr,Fearful,1,467,Direct
4,19,right,male,1,96,NDl,Neutral,1,423,Direct
4,19,right,male,2,1,FRi,Fearful,1,369,Inongruent
4,19,right,male,2,2,FRc,Fearful,1,318,Congruent
